Node 0, start at 537, n: 11, c:11
Node 1, start at 844, n: 3, c:3
Node 2, start at 948, n: 13, c:13
Node 3, start at 420, n: 3, c:3
Node 4, start at 480, n: 5, c:5
Node 5, start at 195, n: 13, c:13
Node 6, start at 291, n: 3, c:3
Node 7, start at 967, n: 13, c:13
Node 8, start at 212, n: 3, c:3
Node 9, start at 194, n: 5, c:5
Node 10, start at 114, n: 11, c:11
Node 11, start at 299, n: 3, c:3
Node 12, start at 384, n: 5, c:5
Node 13, start at 197, n: 7, c:7
Node 14, start at 474, n: 3, c:3
Node 15, start at 513, n: 3, c:3
Node 16, start at 299, n: 3, c:3
Node 17, start at 301, n: 3, c:3
Node 18, start at 29, n: 5, c:5
Node 19, start at 384, n: 13, c:13
Node 20, start at 812, n: 3, c:3
Node 0, start at 537, n: 5, c:5
Node 1, start at 844, n: 5, c:5
Node 2, start at 948, n: 5, c:5
Node 3, start at 420, n: 5, c:5
Node 4, start at 480, n: 5, c:5
Node 5, start at 195, n: 5, c:5
Node 6, start at 291, n: 5, c:5
Node 7, start at 967, n: 5, c:5
Node 8, start at 212, n: 5, c:5
Node 9, start at 194, n: 5, c:5
Node 10, start at 114, n: 5, c:5
Node 11, start at 299, n: 5, c:5
Node 12, start at 384, n: 5, c:5
Node 13, start at 197, n: 5, c:5
Node 14, start at 474, n: 5, c:5
Node 15, start at 513, n: 5, c:5
Node 16, start at 299, n: 5, c:5
Node 17, start at 301, n: 5, c:5
Node 18, start at 29, n: 5, c:5
Node 19, start at 384, n: 5, c:5
Node 20, start at 812, n: 5, c:5
Node 0, start at 706, n: 5, c:5
Node 1, start at 698, n: 5, c:5
Node 2, start at 231, n: 11, c:11
Node 3, start at 813, n: 3, c:3
Node 4, start at 68, n: 13, c:13
Node 5, start at 637, n: 3, c:3
Node 6, start at 490, n: 11, c:11
Node 7, start at 193, n: 5, c:5
Node 8, start at 840, n: 11, c:11
Node 9, start at 237, n: 3, c:3
Node 10, start at 703, n: 3, c:3
Node 11, start at 381, n: 5, c:5
Node 12, start at 311, n: 3, c:3
Node 13, start at 534, n: 13, c:13
Node 14, start at 373, n: 13, c:13
Node 15, start at 952, n: 11, c:11
Node 16, start at 983, n: 5, c:5
Node 17, start at 588, n: 5, c:5
Node 18, start at 367, n: 3, c:3
Node 19, start at 127, n: 13, c:13
Node 20, start at 451, n: 3, c:3
Node 0, start at 706, n: 5, c:5
Node 1, start at 698, n: 5, c:5
Node 2, start at 231, n: 5, c:5
Node 3, start at 813, n: 5, c:5
Node 4, start at 68, n: 5, c:5
Node 5, start at 637, n: 5, c:5
Node 6, start at 490, n: 5, c:5
Node 7, start at 193, n: 5, c:5
Node 8, start at 840, n: 5, c:5
Node 9, start at 237, n: 5, c:5
Node 10, start at 703, n: 5, c:5
Node 11, start at 381, n: 5, c:5
Node 12, start at 311, n: 5, c:5
Node 13, start at 534, n: 5, c:5
Node 14, start at 373, n: 5, c:5
Node 15, start at 952, n: 5, c:5
Node 16, start at 983, n: 5, c:5
Node 17, start at 588, n: 5, c:5
Node 18, start at 367, n: 5, c:5
Node 19, start at 127, n: 5, c:5
Node 20, start at 451, n: 5, c:5
Node 0, start at 140, n: 11, c:11
Node 1, start at 711, n: 11, c:11
Node 2, start at 754, n: 3, c:3
Node 3, start at 459, n: 3, c:3
Node 4, start at 635, n: 3, c:3
Node 5, start at 632, n: 5, c:5
Node 6, start at 22, n: 3, c:3
Node 7, start at 51, n: 3, c:3
Node 8, start at 104, n: 5, c:5
Node 9, start at 254, n: 3, c:3
Node 10, start at 834, n: 5, c:5
Node 11, start at 832, n: 5, c:5
Node 12, start at 414, n: 11, c:11
Node 13, start at 745, n: 3, c:3
Node 14, start at 414, n: 3, c:3
Node 15, start at 322, n: 3, c:3
Node 16, start at 590, n: 7, c:7
Node 17, start at 671, n: 7, c:7
Node 18, start at 912, n: 3, c:3
Node 19, start at 472, n: 3, c:3
Node 20, start at 221, n: 13, c:13
Node 0, start at 140, n: 5, c:5
Node 1, start at 711, n: 5, c:5
Node 2, start at 754, n: 5, c:5
Node 3, start at 459, n: 5, c:5
Node 4, start at 635, n: 5, c:5
Node 5, start at 632, n: 5, c:5
Node 6, start at 22, n: 5, c:5
Node 7, start at 51, n: 5, c:5
Node 8, start at 104, n: 5, c:5
Node 9, start at 254, n: 5, c:5
Node 10, start at 834, n: 5, c:5
Node 11, start at 832, n: 5, c:5
Node 12, start at 414, n: 5, c:5
Node 13, start at 745, n: 5, c:5
Node 14, start at 414, n: 5, c:5
Node 15, start at 322, n: 5, c:5
Node 16, start at 590, n: 5, c:5
Node 17, start at 671, n: 5, c:5
Node 18, start at 912, n: 5, c:5
Node 19, start at 472, n: 5, c:5
Node 20, start at 221, n: 5, c:5
Node 0, start at 989, n: 3, c:3
Node 1, start at 951, n: 3, c:3
Node 2, start at 819, n: 5, c:5
Node 3, start at 801, n: 13, c:13
Node 4, start at 834, n: 13, c:13
Node 5, start at 578, n: 3, c:3
Node 6, start at 303, n: 5, c:5
