Node 20, start at 103, anchor: 7
Node 0, start at 529, anchor: 7
Node 1, start at 533, anchor: 7
Node 2, start at 368, anchor: 7
Node 3, start at 838, anchor: 7
Node 4, start at 116, anchor: 7
Node 5, start at 635, anchor: 7
Node 6, start at 994, anchor: 7
Node 7, start at 268, anchor: 7
Node 8, start at 856, anchor: 7
Node 9, start at 333, anchor: 7
Node 10, start at 346, anchor: 7
Node 11, start at 845, anchor: 7
Node 12, start at 567, anchor: 7
Node 13, start at 608, anchor: 7
Node 14, start at 262, anchor: 7
Node 15, start at 164, anchor: 7
Node 16, start at 554, anchor: 7
Node 17, start at 755, anchor: 7
Node 18, start at 841, anchor: 7
Node 19, start at 453, anchor: 7
Node 20, start at 103, anchor: 7
Node 0, start at 814, anchor: 5
Node 1, start at 855, anchor: 7
Node 2, start at 414, anchor: 19
Node 3, start at 434, anchor: 11
Node 4, start at 999, anchor: 5
Node 5, start at 486, anchor: 19
Node 6, start at 364, anchor: 13
Node 7, start at 403, anchor: 19
Node 8, start at 698, anchor: 11
Node 9, start at 82, anchor: 7
Node 10, start at 162, anchor: 5
Node 11, start at 442, anchor: 5
Node 12, start at 246, anchor: 11
Node 13, start at 78, anchor: 5
Node 14, start at 946, anchor: 19
Node 15, start at 818, anchor: 11
Node 16, start at 618, anchor: 19
Node 17, start at 31, anchor: 7
Node 18, start at 350, anchor: 3
Node 19, start at 838, anchor: 5
Node 20, start at 941, anchor: 7
Node 0, start at 814, anchor: 7
Node 1, start at 855, anchor: 7
Node 2, start at 414, anchor: 7
Node 3, start at 434, anchor: 7
Node 4, start at 999, anchor: 7
Node 5, start at 486, anchor: 7
Node 6, start at 364, anchor: 7
Node 7, start at 403, anchor: 7
Node 8, start at 698, anchor: 7
Node 9, start at 82, anchor: 7
Node 10, start at 162, anchor: 7
Node 11, start at 442, anchor: 7
Node 12, start at 246, anchor: 7
Node 13, start at 78, anchor: 7
Node 14, start at 946, anchor: 7
Node 15, start at 818, anchor: 7
Node 16, start at 618, anchor: 7
Node 17, start at 31, anchor: 7
Node 18, start at 350, anchor: 7
Node 19, start at 838, anchor: 7
Node 20, start at 941, anchor: 7
Node 0, start at 569, anchor: 13
Node 1, start at 904, anchor: 13
Node 2, start at 815, anchor: 7
Node 3, start at 788, anchor: 13
Node 4, start at 52, anchor: 5
