Node 20, start at 192, anchor: 7
Node 0, start at 521, anchor: 5
Node 1, start at 449, anchor: 5
Node 2, start at 303, anchor: 5
Node 3, start at 15, anchor: 5
Node 4, start at 125, anchor: 5
Node 5, start at 247, anchor: 5
Node 6, start at 266, anchor: 5
Node 7, start at 153, anchor: 5
Node 8, start at 322, anchor: 5
Node 9, start at 952, anchor: 5
Node 10, start at 789, anchor: 5
Node 11, start at 458, anchor: 5
Node 12, start at 441, anchor: 5
Node 13, start at 694, anchor: 5
Node 14, start at 6, anchor: 5
Node 15, start at 92, anchor: 5
Node 16, start at 543, anchor: 5
Node 17, start at 260, anchor: 5
Node 18, start at 26, anchor: 5
Node 19, start at 512, anchor: 5
Node 20, start at 192, anchor: 5
Node 0, start at 360, anchor: 13
Node 1, start at 298, anchor: 19
Node 2, start at 19, anchor: 5
Node 3, start at 46, anchor: 7
Node 4, start at 765, anchor: 7
Node 5, start at 297, anchor: 5
Node 6, start at 309, anchor: 5
Node 7, start at 823, anchor: 5
Node 8, start at 363, anchor: 3
Node 9, start at 766, anchor: 11
Node 10, start at 210, anchor: 5
Node 11, start at 624, anchor: 3
Node 12, start at 12, anchor: 5
Node 13, start at 101, anchor: 5
Node 14, start at 783, anchor: 19
Node 15, start at 480, anchor: 5
Node 16, start at 607, anchor: 5
Node 17, start at 987, anchor: 5
Node 18, start at 207, anchor: 5
Node 19, start at 703, anchor: 13
Node 20, start at 883, anchor: 5
Node 0, start at 360, anchor: 3
Node 1, start at 298, anchor: 3
Node 2, start at 19, anchor: 3
Node 3, start at 46, anchor: 3
Node 4, start at 765, anchor: 3
Node 5, start at 297, anchor: 3
Node 6, start at 309, anchor: 3
Node 7, start at 823, anchor: 3
Node 8, start at 363, anchor: 3
Node 9, start at 766, anchor: 3
Node 10, start at 210, anchor: 3
Node 11, start at 624, anchor: 3
Node 12, start at 12, anchor: 3
Node 13, start at 101, anchor: 3
Node 14, start at 783, anchor: 3
Node 15, start at 480, anchor: 3
Node 16, start at 607, anchor: 3
Node 17, start at 987, anchor: 3
Node 18, start at 207, anchor: 3
Node 19, start at 703, anchor: 3
Node 20, start at 883, anchor: 3
Node 0, start at 157, anchor: 13
Node 1, start at 217, anchor: 5
Node 2, start at 910, anchor: 13
Node 3, start at 659, anchor: 11
Node 4, start at 333, anchor: 5
Node 5, start at 984, anchor: 7
Node 6, start at 347, anchor: 3
Node 7, start at 166, anchor: 3
Node 8, start at 507, anchor: 7
Node 9, start at 714, anchor: 5
Node 10, start at 208, anchor: 19
Node 11, start at 669, anchor: 11
Node 12, start at 426, anchor: 5
Node 13, start at 296, anchor: 7
Node 14, start at 235, anchor: 19
Node 15, start at 486, anchor: 13
Node 16, start at 533, anchor: 5
Node 17, start at 555, anchor: 5
Node 18, start at 516, anchor: 13
Node 19, start at 495, anchor: 5
Node 20, start at 207, anchor: 13
Node 0, start at 157, anchor: 7
Node 1, start at 217, anchor: 7
Node 2, start at 910, anchor: 7
Node 3, start at 659, anchor: 7
Node 4, start at 333, anchor: 7
Node 5, start at 984, anchor: 7
Node 6, start at 347, anchor: 7
Node 7, start at 166, anchor: 7
Node 8, start at 507, anchor: 7
Node 9, start at 714, anchor: 7
Node 10, start at 208, anchor: 7
Node 11, start at 669, anchor: 7
Node 12, start at 426, anchor: 7
Node 13, start at 296, anchor: 7
Node 14, start at 235, anchor: 7
Node 15, start at 486, anchor: 7
Node 16, start at 533, anchor: 7
Node 17, start at 555, anchor: 7
Node 18, start at 516, anchor: 7
Node 19, start at 495, anchor: 7
Node 20, start at 207, anchor: 7
Node 0, start at 458, anchor: 7
Node 1, start at 754, anchor: 3
Node 2, start at 844, anchor: 3
Node 3, start at 74, anchor: 7
Node 4, start at 669, anchor: 13
Node 5, start at 422, anchor: 5
Node 6, start at 794, anchor: 7
Node 7, start at 517, anchor: 19
Node 8, start at 11, anchor: 5
Node 9, start at 342, anchor: 7
Node 10, start at 847, anchor: 3
Node 11, start at 377, anchor: 5
Node 12, start at 95, anchor: 13
Node 13, start at 884, anchor: 19
Node 14, start at 871, anchor: 11
Node 15, start at 789, anchor: 7
Node 16, start at 707, anchor: 13
Node 17, start at 9, anchor: 7
Node 18, start at 82, anchor: 7
Node 19, start at 64, anchor: 7
Node 20, start at 255, anchor: 19
Node 0, start at 458, anchor: 7
Node 1, start at 754, anchor: 7
Node 2, start at 844, anchor: 7
Node 3, start at 74, anchor: 7
Node 4, start at 669, anchor: 7
Node 5, start at 422, anchor: 7
Node 6, start at 794, anchor: 7
Node 7, start at 517, anchor: 7
Node 8, start at 11, anchor: 7
Node 9, start at 342, anchor: 7
Node 10, start at 847, anchor: 7
Node 11, start at 377, anchor: 7
Node 12, start at 95, anchor: 7
Node 13, start at 884, anchor: 7
Node 14, start at 871, anchor: 7
Node 15, start at 789, anchor: 7
Node 16, start at 707, anchor: 7
Node 17, start at 9, anchor: 7
Node 18, start at 82, anchor: 7
Node 19, start at 64, anchor: 7
Node 20, start at 255, anchor: 7
