Node 0, start at 689, n: 7, c:7
Node 1, start at 731, n: 7, c:7
Node 2, start at 892, n: 3, c:3
Node 3, start at 338, n: 5, c:5
Node 4, start at 490, n: 5, c:5
Node 5, start at 638, n: 11, c:11
Node 6, start at 215, n: 5, c:5
Node 7, start at 737, n: 3, c:3
Node 8, start at 120, n: 11, c:11
Node 9, start at 457, n: 3, c:3
Node 10, start at 486, n: 5, c:5
Node 11, start at 426, n: 3, c:3
Node 12, start at 781, n: 3, c:3
Node 13, start at 197, n: 11, c:11
Node 14, start at 967, n: 11, c:11
Node 15, start at 179, n: 11, c:11
Node 16, start at 211, n: 5, c:5
Node 17, start at 65, n: 3, c:3
Node 18, start at 304, n: 3, c:3
Node 19, start at 733, n: 3, c:3
Node 20, start at 832, n: 3, c:3
Node 0, start at 689, n: 3, c:3
Node 1, start at 731, n: 3, c:3
Node 2, start at 892, n: 3, c:3
Node 3, start at 338, n: 3, c:3
Node 4, start at 490, n: 3, c:3
Node 5, start at 638, n: 3, c:3
Node 6, start at 215, n: 3, c:3
Node 7, start at 737, n: 3, c:3
Node 8, start at 120, n: 3, c:3
Node 9, start at 457, n: 3, c:3
Node 10, start at 486, n: 3, c:3
Node 11, start at 426, n: 3, c:3
Node 12, start at 781, n: 3, c:3
Node 13, start at 197, n: 3, c:3
Node 14, start at 967, n: 3, c:3
Node 15, start at 179, n: 3, c:3
Node 16, start at 211, n: 3, c:3
Node 17, start at 65, n: 3, c:3
Node 18, start at 304, n: 3, c:3
Node 19, start at 733, n: 3, c:3
Node 20, start at 832, n: 3, c:3
Node 0, start at 696, n: 5, c:5
Node 1, start at 218, n: 3, c:3
Node 2, start at 398, n: 5, c:5
Node 3, start at 300, n: 5, c:5
Node 4, start at 14, n: 13, c:13
Node 5, start at 11, n: 3, c:3
Node 6, start at 86, n: 5, c:5
Node 7, start at 448, n: 5, c:5
Node 8, start at 989, n: 11, c:11
Node 9, start at 360, n: 3, c:3
Node 10, start at 54, n: 3, c:3
Node 11, start at 289, n: 11, c:11
Node 12, start at 328, n: 5, c:5
Node 13, start at 259, n: 3, c:3
Node 14, start at 681, n: 5, c:5
Node 15, start at 233, n: 5, c:5
Node 16, start at 313, n: 5, c:5
Node 17, start at 938, n: 3, c:3
Node 18, start at 920, n: 5, c:5
Node 19, start at 278, n: 5, c:5
Node 20, start at 203, n: 5, c:5
Node 0, start at 696, n: 3, c:3
Node 1, start at 218, n: 3, c:3
Node 2, start at 398, n: 3, c:3
Node 3, start at 300, n: 3, c:3
Node 4, start at 14, n: 3, c:3
Node 5, start at 11, n: 3, c:3
Node 6, start at 86, n: 3, c:3
Node 7, start at 448, n: 3, c:3
Node 8, start at 989, n: 3, c:3
Node 9, start at 360, n: 3, c:3
Node 10, start at 54, n: 3, c:3
Node 11, start at 289, n: 3, c:3
Node 12, start at 328, n: 3, c:3
Node 13, start at 259, n: 3, c:3
Node 14, start at 681, n: 3, c:3
Node 15, start at 233, n: 3, c:3
Node 16, start at 313, n: 3, c:3
Node 17, start at 938, n: 3, c:3
Node 18, start at 920, n: 3, c:3
Node 19, start at 278, n: 3, c:3
Node 20, start at 203, n: 3, c:3
Node 0, start at 248, n: 5, c:5
Node 1, start at 934, n: 11, c:11
Node 2, start at 410, n: 5, c:5
Node 3, start at 548, n: 5, c:5
Node 4, start at 500, n: 3, c:3
Node 5, start at 102, n: 5, c:5
Node 6, start at 830, n: 11, c:11
Node 7, start at 302, n: 3, c:3
Node 8, start at 544, n: 3, c:3
Node 9, start at 779, n: 13, c:13
Node 10, start at 870, n: 11, c:11
Node 11, start at 439, n: 3, c:3
