Node 3, start at 228, c: 5
Node 4, start at 828, c: 13
Node 5, start at 653, c: 5
Node 6, start at 798, c: 5
Node 7, start at 208, c: 7
Node 8, start at 616, c: 7
Node 9, start at 81, c: 19
Node 10, start at 559, c: 5
Node 11, start at 366, c: 19
Node 12, start at 289, c: 19
Node 13, start at 458, c: 5
Node 14, start at 89, c: 19
Node 15, start at 791, c: 7
Node 16, start at 362, c: 3
Node 17, start at 827, c: 7
Node 18, start at 378, c: 5
Node 19, start at 239, c: 13
Node 20, start at 163, c: 5
Node 0, start at 868, c: 5
Node 1, start at 426, c: 5
Node 2, start at 377, c: 5
Node 3, start at 228, c: 5
Node 4, start at 828, c: 5
Node 5, start at 653, c: 5
Node 6, start at 798, c: 5
Node 7, start at 208, c: 5
Node 8, start at 616, c: 5
Node 9, start at 81, c: 5
Node 10, start at 559, c: 5
Node 11, start at 366, c: 5
Node 12, start at 289, c: 5
Node 13, start at 458, c: 5
Node 14, start at 89, c: 5
Node 15, start at 791, c: 5
Node 16, start at 362, c: 5
Node 17, start at 827, c: 5
Node 18, start at 378, c: 5
Node 19, start at 239, c: 5
Node 20, start at 163, c: 5
Node 0, start at 860, c: 7
Node 1, start at 74, c: 5
Node 2, start at 391, c: 13
Node 3, start at 995, c: 5
Node 4, start at 7, c: 5
Node 5, start at 562, c: 11
Node 6, start at 672, c: 5
Node 7, start at 655, c: 7
Node 8, start at 570, c: 7
Node 9, start at 435, c: 7
Node 10, start at 577, c: 5
Node 11, start at 393, c: 7
Node 12, start at 853, c: 5
Node 13, start at 827, c: 3
Node 14, start at 430, c: 19
Node 15, start at 803, c: 3
Node 16, start at 792, c: 7
Node 17, start at 814, c: 5
Node 18, start at 436, c: 5
Node 19, start at 462, c: 7
Node 20, start at 45, c: 7
Node 0, start at 860, c: 3
Node 1, start at 74, c: 3
Node 2, start at 391, c: 3
Node 3, start at 995, c: 3
Node 4, start at 7, c: 3
Node 5, start at 562, c: 3
Node 6, start at 672, c: 3
Node 7, start at 655, c: 3
Node 8, start at 570, c: 3
Node 9, start at 435, c: 3
Node 10, start at 577, c: 3
Node 11, start at 393, c: 3
Node 12, start at 853, c: 3
Node 13, start at 827, c: 3
Node 14, start at 430, c: 3
Node 15, start at 803, c: 3
Node 16, start at 792, c: 3
Node 17, start at 814, c: 3
Node 18, start at 436, c: 3
Node 19, start at 462, c: 3
Node 20, start at 45, c: 3
Node 0, start at 896, c: 19
Node 1, start at 480, c: 3
Node 2, start at 425, c: 3
Node 3, start at 131, c: 7
Node 4, start at 93, c: 5
Node 5, start at 801, c: 3
Node 6, start at 467, c: 11
Node 7, start at 526, c: 19
Node 8, start at 982, c: 5
Node 9, start at 25, c: 5
Node 10, start at 464, c: 5
Node 11, start at 327, c: 5
Node 12, start at 897, c: 5
Node 13, start at 673, c: 3
Node 14, start at 547, c: 3
Node 15, start at 327, c: 19
Node 16, start at 170, c: 5
Node 17, start at 50, c: 7
Node 18, start at 649, c: 13
Node 19, start at 236, c: 7
Node 20, start at 795, c: 19
Node 0, start at 896, c: 3
Node 1, start at 480, c: 3
Node 2, start at 425, c: 3
Node 3, start at 131, c: 3
Node 4, start at 93, c: 3
Node 5, start at 801, c: 3
Node 6, start at 467, c: 3
Node 7, start at 526, c: 3
Node 8, start at 982, c: 3
Node 9, start at 25, c: 3
Node 10, start at 464, c: 3
Node 11, start at 327, c: 3
Node 12, start at 897, c: 3
Node 13, start at 673, c: 3
Node 14, start at 547, c: 3
Node 15, start at 327, c: 3
Node 16, start at 170, c: 3
Node 17, start at 50, c: 3
Node 18, start at 649, c: 3
Node 19, start at 236, c: 3
Node 20, start at 795, c: 3
Node 0, start at 190, c: 19
Node 1, start at 590, c: 5
Node 2, start at 518, c: 11
Node 3, start at 45, c: 7
Node 4, start at 47, c: 7
Node 5, start at 497, c: 13
Node 6, start at 821, c: 19
Node 7, start at 682, c: 3
Node 8, start at 128, c: 19
Node 9, start at 174, c: 11
Node 10, start at 953, c: 5
Node 11, start at 170, c: 5
Node 12, start at 993, c: 3
Node 13, start at 844, c: 13
Node 14, start at 569, c: 7
Node 15, start at 897, c: 5
Node 16, start at 29, c: 5
Node 17, start at 315, c: 13
Node 18, start at 367, c: 5
Node 19, start at 571, c: 5
Node 20, start at 551, c: 5
Node 0, start at 190, c: 3
Node 1, start at 590, c: 3
Node 2, start at 518, c: 3
Node 3, start at 45, c: 3
Node 4, start at 47, c: 3
Node 5, start at 497, c: 3
Node 6, start at 821, c: 3
Node 7, start at 682, c: 3
Node 8, start at 128, c: 3
Node 9, start at 174, c: 3
Node 10, start at 953, c: 3
Node 11, start at 170, c: 3
Node 12, start at 993, c: 3
Node 13, start at 844, c: 3
Node 14, start at 569, c: 3
Node 15, start at 897, c: 3
Node 16, start at 29, c: 3
Node 17, start at 315, c: 3
Node 18, start at 367, c: 3
Node 19, start at 571, c: 3
Node 20, start at 551, c: 3
Node 0, start at 621, c: 7
Node 1, start at 608, c: 3
Node 2, start at 343, c: 11
Node 3, start at 19, c: 11
Node 4, start at 77, c: 5
Node 5, start at 16, c: 13
Node 6, start at 107, c: 5
Node 7, start at 289, c: 19
Node 8, start at 13, c: 5
Node 9, start at 645, c: 5
Node 10, start at 531, c: 7
Node 11, start at 261, c: 7
Node 12, start at 258, c: 3
Node 13, start at 460, c: 5
Node 14, start at 171, c: 13
Node 15, start at 406, c: 7
Node 16, start at 38, c: 5
Node 17, start at 8, c: 13
Node 18, start at 126, c: 11
Node 19, start at 127, c: 3
Node 20, start at 534, c: 7
Node 0, start at 621, c: 3
Node 1, start at 608, c: 3
Node 2, start at 343, c: 3
Node 3, start at 19, c: 3
Node 4, start at 77, c: 3
Node 5, start at 16, c: 3
Node 6, start at 107, c: 3
Node 7, start at 289, c: 3
Node 8, start at 13, c: 3
Node 9, start at 645, c: 3
Node 10, start at 531, c: 3
Node 11, start at 261, c: 3
Node 12, start at 258, c: 3
Node 13, start at 460, c: 3
Node 14, start at 171, c: 3
Node 15, start at 406, c: 3
Node 16, start at 38, c: 3
Node 17, start at 8, c: 3
Node 18, start at 126, c: 3
Node 19, start at 127, c: 3
Node 20, start at 534, c: 3
Node 0, start at 872, c: 5
Node 1, start at 390, c: 5
Node 2, start at 790, c: 13
Node 3, start at 776, c: 5
Node 4, start at 678, c: 11
Node 5, start at 280, c: 5
Node 6, start at 414, c: 5
