Node 0, start at 612, n: 5, c:11
Node 1, start at 213, n: 2, c:11
Node 2, start at 314, n: 2, c:11
Node 3, start at 896, n: 2, c:11
Node 4, start at 430, n: 2, c:11
Node 5, start at 991, n: 5, c:11
Node 6, start at 628, n: 3, c:11
Node 7, start at 439, n: 3, c:11
Node 8, start at 5, n: 5, c:11
Node 9, start at 600, n: 5, c:11
Node 10, start at 900, n: 53, c:11
Node 11, start at 340, n: 2, c:11
Node 12, start at 613, n: 2, c:11
Node 13, start at 972, n: 5, c:11
Node 14, start at 47, n: 3, c:11
Node 15, start at 471, n: 2, c:11
Node 16, start at 194, n: 2, c:11
Node 17, start at 216, n: 3, c:11
Node 18, start at 230, n: 3, c:11
Node 19, start at 820, n: 3, c:11
Node 20, start at 703, n: 53, c:11
Node 0, start at 612, n: 2, c:11
Node 1, start at 213, n: 2, c:11
Node 2, start at 314, n: 2, c:11
Node 3, start at 896, n: 2, c:11
Node 4, start at 430, n: 2, c:11
Node 5, start at 991, n: 2, c:11
Node 6, start at 628, n: 2, c:11
Node 7, start at 439, n: 2, c:11
Node 8, start at 5, n: 2, c:11
Node 9, start at 600, n: 2, c:11
Node 10, start at 900, n: 2, c:11
Node 11, start at 340, n: 2, c:11
Node 12, start at 613, n: 2, c:11
Node 13, start at 972, n: 2, c:11
Node 14, start at 47, n: 2, c:11
Node 15, start at 471, n: 2, c:11
Node 16, start at 194, n: 2, c:11
Node 17, start at 216, n: 2, c:11
Node 18, start at 230, n: 2, c:11
Node 19, start at 820, n: 2, c:11
Node 20, start at 703, n: 2, c:11
Node 0, start at 262, n: 2, c:11
Node 1, start at 673, n: 2, c:11
Node 2, start at 373, n: 3, c:11
Node 3, start at 851, n: 2, c:11
Node 4, start at 363, n: 2, c:11
Node 5, start at 114, n: 2, c:11
Node 6, start at 153, n: 5, c:11
Node 7, start at 686, n: 2, c:11
Node 8, start at 749, n: 2, c:11
Node 9, start at 720, n: 2, c:11
Node 10, start at 37, n: 2, c:11
Node 11, start at 345, n: 3, c:11
Node 12, start at 56, n: 53, c:11
Node 13, start at 207, n: 3, c:11
Node 14, start at 362, n: 2, c:11
Node 15, start at 7, n: 3, c:11
Node 16, start at 188, n: 2, c:11
Node 17, start at 262, n: 2, c:11
Node 18, start at 373, n: 2, c:11
Node 19, start at 967, n: 2, c:11
Node 20, start at 190, n: 2, c:11
Node 0, start at 262, n: 2, c:11
Node 1, start at 673, n: 2, c:11
Node 2, start at 373, n: 2, c:11
Node 3, start at 851, n: 2, c:11
Node 4, start at 363, n: 2, c:11
Node 5, start at 114, n: 2, c:11
Node 6, start at 153, n: 2, c:11
Node 7, start at 686, n: 2, c:11
Node 8, start at 749, n: 2, c:11
Node 9, start at 720, n: 2, c:11
Node 10, start at 37, n: 2, c:11
Node 11, start at 345, n: 2, c:11
Node 12, start at 56, n: 2, c:11
Node 13, start at 207, n: 2, c:11
Node 14, start at 362, n: 2, c:11
Node 15, start at 7, n: 2, c:11
Node 16, start at 188, n: 2, c:11
Node 17, start at 262, n: 2, c:11
Node 18, start at 373, n: 2, c:11
Node 19, start at 967, n: 2, c:11
Node 20, start at 190, n: 2, c:11
Node 0, start at 227, n: 3, c:11
Node 1, start at 57, n: 2, c:11
Node 2, start at 381, n: 53, c:11
Node 3, start at 342, n: 2, c:11
Node 4, start at 915, n: 2, c:11
Node 5, start at 799, n: 2, c:11
Node 6, start at 999, n: 53, c:11
Node 7, start at 700, n: 53, c:11
Node 8, start at 636, n: 2, c:11
Node 9, start at 941, n: 2, c:11
Node 10, start at 376, n: 7, c:11
Node 11, start at 468, n: 7, c:11
Node 12, start at 592, n: 2, c:11
Node 13, start at 638, n: 2, c:11
Node 14, start at 99, n: 2, c:11
Node 15, start at 770, n: 5, c:11
Node 16, start at 213, n: 2, c:11
Node 17, start at 312, n: 3, c:11
Node 18, start at 257, n: 2, c:11
Node 19, start at 574, n: 2, c:11
Node 20, start at 979, n: 7, c:11
Node 0, start at 227, n: 2, c:11
