0.1
0.1,56485,98531
0.2,27603,98531
0.3,16471,98531
0.4,13909,98531
0.5,12148,98531
0.6,9392,98531
0.7,7062,98531
0.8,5471,98531
0.9,4242,98531
0.2
0.1,71746,98946
0.2,51217,98946
0.3,26818,98946
0.4,13321,98946
0.5,8261,98946
0.6,6679,98946
0.7,5223,98946
0.8,4720,98946
0.9,4473,98946
0.3
0.1,56527,97725
0.2,64929,99555
0.3,59670,99555
0.4,62747,99555
0.5,67814,99555
0.6,57142,99555
0.7,33936,99555
0.8,19019,99555
0.9,12211,99555
0.4
0.1,4934,98054
0.2,65378,98363
0.3,70703,99051
0.4,77590,99220
0.5,81284,99220
0.6,73633,99220
0.7,55959,99220
0.8,32409,99220
0.9,17378,99220
0.5
0.1,7052,99732
0.2,72701,99732
0.3,76242,99732
0.4,78722,99732
0.5,67153,99732
0.6,56897,99732
0.7,36280,99732
0.8,17520,99732
0.9,11969,99732
