0.1
0.1,52787,93749
0.9,60360,99694
0.2,21072,93749
0.3,10388,93749
0.4,7162,93749
0.5,5358,93749
0.6,4341,93749
0.7,3626,93749
0.8,3298,93749
0.9,3218,93749
0.2
0.1,77491,99365
0.2,50166,99365
0.3,31175,99365
0.4,14026,99365
0.5,9712,99365
0.6,7292,99365
0.7,6365,99365
0.8,5545,99365
0.9,4830,99365
0.3
0.1,70735,99326
0.2,73072,99365
0.3,65294,99365
0.4,47160,99365
0.5,30514,99365
0.6,23352,99365
0.7,17110,99365
0.8,14334,99365
0.9,13258,99365
0.4
0.1,14492,99087
0.2,50176,99087
0.3,68422,99087
0.4,65098,99166
0.5,80585,99357
0.6,79365,99636
0.7,74800,99636
0.8,66998,99636
0.9,53597,99636
0.5
0.1,3,502
0.2,121,553
0.3,178,553
0.4,212,574
0.5,3594,78226
0.6,6450,89121
0.7,12307,97459
0.8,35997,98458
