0.2
0.1,55729,98948
0.2,11053,98948
0.3,3570,98948
0.4,3712,98948
0.5,3647,98948
0.6,4311,98948
0.7,8190,98948
0.8,22539,98948
0.9,55503,99554
0.2
0.1,65845,99170
0.2,13625,99170
0.3,7301,99170
0.4,7662,99170
0.5,13572,99170
0.6,39152,99170
0.7,34991,99170
0.8,13512,99170
0.9,36221,99170
0.3
0.1,19825,50627
0.2,4920,50627
0.3,10820,52889
0.4,10758,52889
0.5,30284,78057
0.6,59012,98759
0.7,19610,99221
0.8,40937,99221
0.9,22735,99221
0.4
0.1,19047,43300
0.2,4360,43300
0.3,2090,43300
0.4,1897,43300
0.5,2958,43300
0.6,6187,43300
0.7,18740,61847
0.8,48226,98675
0.9,51090,98675
0.4
0.1,18942,44770
0.2,5699,44770
0.3,8520,48389
0.4,7655,48389
0.5,18307,63261
0.6,46608,97273
0.7,29508,99385
0.8,38150,99385
0.9,56403,99385
0.3
0.1,18935,46161
0.2,5069,46161
0.3,4430,46161
0.4,4691,46161
0.5,8579,46161
0.6,26689,95788
0.7,55139,98584
0.8,38912,99055
0.9,33584,99055
0.1
0.1,79413,99583
0.2,78980,99583
0.3,35076,99583
0.4,40147,99583
0.5,35798,99583
0.6,45598,99583
0.7,64268,99583
0.8,75350,99583
0.9,61152,99583
0.1
0.1,80805,99165
0.2,78959,99165
0.3,32492,99165
0.4,34948,99165
0.5,29352,99165
0.6,30928,99165
0.7,45917,99165
0.8,73954,99165
0.9,75118,99165
0.1
0.1,78588,99308
0.2,80572,99396
0.3,46531,99396
0.4,48596,99396
0.5,51272,99396
0.6,68942,99462
0.7,71904,99462
0.8,50922,99462
0.9,45330,99462
