0.1
0.1,85478,99050
0.2,39296,99050
0.3,13152,99050
0.4,12452,99050
0.5,14626,99050
0.6,24765,99161
0.7,35147,99161
0.8,27294,99161
0.9,71034,99161
0.1
0.1,83249,99201
0.2,44355,99201
0.3,16534,99201
0.4,16568,99201
0.5,23289,99201
0.6,43388,99201
0.7,49655,99201
0.8,41557,99201
0.9,50659,99201
0.2
0.1,62236,98597
0.2,11846,98597
0.3,3325,98597
0.4,3158,98597
0.5,2786,98597
0.6,3656,98597
0.7,6937,98597
0.8,20500,98597
0.9,35963,98945
0.3
0.1,21741,59326
0.2,4642,59326
0.3,4720,59326
0.4,4469,59326
0.5,9684,59326
0.6,29968,87843
0.7,34307,98931
0.8,32991,98931
0.9,59575,98931
0.4
0.1,8008,16511
0.2,2584,16511
0.3,2273,16511
0.4,2265,16511
0.5,5045,16851
0.6,14364,36981
0.7,50282,97911
0.8,59184,99227
0.9,-1,-1
0.4
0.1,7921,25671
0.2,3766,25671
0.3,9194,25671
0.4,9400,26510
0.5,38210,86805
0.6,70835,98880
0.7,19123,98880
0.8,14786,98880
0.9,-1,-1
0.5
0.1,2696,8412
0.2,1308,8412
0.3,6522,16852
0.4,6845,16852
0.5,33060,94930
0.6,-1,-1
0.7,-1,-1
0.8,-1,-1
0.9,-1,-1
0.5
0.1,3214,7758
0.2,1894,7758
0.3,8464,33268
0.4,8530,33268
0.5,46325,98500
0.6,22164,99673
0.7,23510,99673
0.8,21542,99673
0.9,117,99673
0.5
0.1,2787,6256
0.2,1499,6256
0.3,8859,30661
0.4,8548,30661
0.5,55403,99112
0.6,54233,99112
0.7,-1,-1
0.8,-1,-1
0.9,-1,-1
0.5
0.1,2576,6088
0.2,1505,6088
0.3,6722,19182
0.4,6163,19182
0.5,32847,87795
0.6,69172,98553
0.7,-1,-1
0.8,-1,-1
0.9,-1,-1
