1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,43.8
45,44.6
46,45.9
47,46.7
48,47.3
49,48.3
50,49.2
51,49.4
52,50.9
53,51.6
54,52.1
55,52.7
56,53.1
57,52.3
58,54.1
59,53.8
60,52
61,51.7
62,54.2
63,54.5
64,52
65,51.4
66,51
67,46
68,44.2
69,44.9
70,41.6
71,38.9
72,41.4
73,39.1
74,29.2
75,29.4
76,31.2
77,29.1
78,27.8
79,27.8
80,24
81,20.9
82,21.4
83,17.8
84,15.8
85,16
86,13.2
87,12
88,11.5
89,12.4
90,8.6
91,7.6
92,4.7
93,4.4
94,4.2
95,1.8
96,0
97,1.9
98,3.2
99,1.3
