1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,45.9
47,46.9
48,47.6
49,48.9
50,49.8
51,50.5
52,51.5
53,52
54,52.7
55,52.7
56,53.5
57,53.3
58,53.5
59,52.2
60,52.4
61,50.3
62,52.4
63,49.8
64,47.7
65,46.2
66,44.5
67,43.4
68,43.7
69,41.3
70,39.1
71,37.4
72,33.1
73,32.5
74,28.5
75,27.4
76,27.4
77,25.7
78,22.2
79,20.8
80,19.7
81,18.1
82,16.7
83,13.3
84,13.7
85,14.6
86,11.8
87,10.5
88,13.1
89,10.8
90,8.4
91,9.2
92,8
93,7
94,5.6
95,6.3
96,5.2
97,4.6
98,3.8
99,4.8
